Codes,Names,COVID-19
ABW,Aruba,Aruba
AFG,Afghanistan,Afghanistan
AGO,Angola,Angola
AIA,Anguilla,Anguilla
ALA,Åland Islands,Åland Islands
ALB,Albania,Albania
AND,Andorra,Andorra
ARE,United Arab Emirates,United Arab Emirates
ARG,Argentina,Argentina
ARM,Armenia,Armenia
ASM,American Samoa,American Samoa
ATA,Antarctica,Antarctica
ATF,French Southern Territories,French Southern Territories
ATG,Antigua and Barbuda,Antigua and Barbuda
AUS,Australia,Australia
AUT,Austria,Austria
AZE,Azerbaijan,Azerbaijan
BDI,Burundi,Burundi
BEL,Belgium,Belgium
BEN,Benin,Benin
BES,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba"
BFA,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh
BGR,Bulgaria,Bulgaria
BHR,Bahrain,Bahrain
BHS,Bahamas,"Bahamas, The"
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
BLM,Saint Barthélemy,Saint Barthelemy
BLR,Belarus,Belarus
BLZ,Belize,Belize
BMU,Bermuda,Bermuda
BOL,Bolivia (Plurinational State of),Bolivia
BRA,Brazil,Brazil
BRB,Barbados,Barbados
BRN,Brunei Darussalam,Brunei
BTN,Bhutan,Bhutan
BVT,Bouvet Island,Bouvet Island
BWA,Botswana,Botswana
CAF,Central African Republic,Central African Republic
CAN,Canada,Canada
CCK,Cocos (Keeling) Islands,Cocos (Keeling) Islands
CHE,Switzerland,Switzerland
CHL,Chile,Chile
CHN,China,China
CIV,Côte d'Ivoire,Cote d'Ivoire
CMR,Cameroon,Cameroon
COD,"Congo, Democratic Republic of the",Congo (Kinshasa)
COG,Congo,Congo (Brazzaville)
COK,Cook Islands,Cook Islands
COL,Colombia,Colombia
COM,Comoros,Comoros
CPV,Cabo Verde,Cabo Verde
CRI,Costa Rica,Costa Rica
CUB,Cuba,Cuba
CUW,Curaçao,Curaçao
CXR,Christmas Island,Christmas Island
CYM,Cayman Islands,Cayman Islands
CYP,Cyprus,Cyprus
CZE,Czechia,Czechia
DEU,Germany,Germany
DJI,Djibouti,Djibouti
DMA,Dominica,Dominica
DNK,Denmark,Denmark
DOM,Dominican Republic,Dominican Republic
DZA,Algeria,Algeria
ECU,Ecuador,Ecuador
EGY,Egypt,Egypt
ERI,Eritrea,Eritrea
ESH,Western Sahara,Western Sahara
ESP,Spain,Spain
EST,Estonia,Estonia
ETH,Ethiopia,Ethiopia
FIN,Finland,Finland
FJI,Fiji,Fiji
FLK,Falkland Islands (Malvinas),Falkland Islands (Malvinas)
FRA,France,France
FRO,Faroe Islands,Faroe Islands
FSM,Micronesia (Federated States of),Micronesia (Federated States of)
GAB,Gabon,Gabon
GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom
GEO,Georgia,Georgia
GGY,Guernsey,Guernsey
GHA,Ghana,Ghana
GIB,Gibraltar,Gibraltar
GIN,Guinea,Guinea
GLP,Guadeloupe,Guadeloupe
GMB,Gambia,"Gambia, The"
GNB,Guinea-Bissau,Guinea-Bissau
GNQ,Equatorial Guinea,Equatorial Guinea
GRC,Greece,Greece
GRD,Grenada,Grenada
GRL,Greenland,Greenland
GTM,Guatemala,Guatemala
GUF,French Guiana,French Guiana
GUM,Guam,Guam
GUY,Guyana,Guyana
HKG,Hong Kong,Hong Kong
HMD,Heard Island and McDonald Islands,Heard Island and McDonald Islands
HND,Honduras,Honduras
HRV,Croatia,Croatia
HTI,Haiti,Haiti
HUN,Hungary,Hungary
IDN,Indonesia,Indonesia
IMN,Isle of Man,Isle of Man
IND,India,India
IOT,British Indian Ocean Territory,British Indian Ocean Territory
IRL,Ireland,Ireland
IRN,Iran (Islamic Republic of),Iran
IRQ,Iraq,Iraq
ISL,Iceland,Iceland
ISR,Israel,Israel
VA,Vatican City State,Vatican City
ITA,Italy,Italy
JAM,Jamaica,Jamaica
JEY,Jersey,Jersey
JOR,Jordan,Jordan
JPN,Japan,Japan
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
KGZ,Kyrgyzstan,Kyrgyzstan
KHM,Cambodia,Cambodia
KIR,Kiribati,Kiribati
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis
KOR,"Korea, Republic of","Korea, South"
KWT,Kuwait,Kuwait
LAO,Lao People's Democratic Republic,Lao People's Democratic Republic
LBN,Lebanon,Lebanon
LBR,Liberia,Liberia
LBY,Libya,Libya
LCA,Saint Lucia,Saint Lucia
LIE,Liechtenstein,Liechtenstein
LKA,Sri Lanka,Sri Lanka
LSO,Lesotho,Lesotho
LTU,Lithuania,Lithuania
LUX,Luxembourg,Luxembourg
LVA,Latvia,Latvia
MAC,Macao,Macau
MAF,Saint Martin (French part),Saint Martin (French part)
MAR,Morocco,Morocco
MCO,Monaco,Monaco
MDA,"Moldova, Republic of",Moldova
MDG,Madagascar,Madagascar
MDV,Maldives,Maldives
MEX,Mexico,Mexico
MHL,Marshall Islands,Marshall Islands
MKD,North Macedonia,North Macedonia
MLI,Mali,Mali
MLT,Malta,Malta
MMR,Myanmar,Myanmar
MNE,Montenegro,Montenegro
MNG,Mongolia,Mongolia
MNP,Northern Mariana Islands,Northern Mariana Islands
MOZ,Mozambique,Mozambique
MRT,Mauritania,Mauritania
MSR,Montserrat,Montserrat
MTQ,Martinique,Martinique
MUS,Mauritius,Mauritius
MWI,Malawi,Malawi
MYS,Malaysia,Malaysia
MYT,Mayotte,Mayotte
NAM,Namibia,Namibia
NCL,New Caledonia,New Caledonia
NER,Niger,Niger
NFK,Norfolk Island,Norfolk Island
NGA,Nigeria,Nigeria
NIC,Nicaragua,Nicaragua
NIU,Niue,Niue
NLD,Netherlands,Netherlands
NOR,Norway,Norway
NPL,Nepal,Nepal
NRU,Nauru,Nauru
NZL,New Zealand,New Zealand
OMN,Oman,Oman
PAK,Pakistan,Pakistan
PAN,Panama,Panama
PCN,Pitcairn,Pitcairn
PER,Peru,Peru
PHL,Philippines,Philippines
PLW,Palau,Palau
PNG,Papua New Guinea,Papua New Guinea
POL,Poland,Poland
PRI,Puerto Rico,Puerto Rico
PRK,Korea (Democratic People's Republic of),Korea (Democratic People's Republic of)
PRT,Portugal,Portugal
PRY,Paraguay,Paraguay
PSE,"Palestine, State of",Palestine
PYF,French Polynesia,French Polynesia
QAT,Qatar,Qatar
REU,Réunion,Reunion
ROU,Romania,Romania
RUS,Russian Federation,Russia
RWA,Rwanda,Rwanda
SAU,Saudi Arabia,Saudi Arabia
SDN,Sudan,Sudan
SEN,Senegal,Senegal
SGP,Singapore,Singapore
SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands
SHN,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha"
SJM,Svalbard and Jan Mayen,Svalbard and Jan Mayen
SLB,Solomon Islands,Solomon Islands
SLE,Sierra Leone,Sierra Leone
SLV,El Salvador,El Salvador
SMR,San Marino,San Marino
SOM,Somalia,Somalia
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon
SRB,Serbia,Serbia
SSD,South Sudan,South Sudan
STP,Sao Tome and Principe,Sao Tome and Principe
SUR,Suriname,Suriname
SVK,Slovakia,Slovakia
SVN,Slovenia,Slovenia
SWE,Sweden,Sweden
SWZ,Eswatini,Eswatini
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
SYC,Seychelles,Seychelles
SYR,Syrian Arab Republic,Syrian Arab Republic
TCA,Turks and Caicos Islands,Turks and Caicos Islands
TCD,Chad,Chad
TGO,Togo,Togo
THA,Thailand,Thailand
TJK,Tajikistan,Tajikistan
TKL,Tokelau,Tokelau
TKM,Turkmenistan,Turkmenistan
TLS,Timor-Leste,Timor-Leste
TON,Tonga,Tonga
TTO,Trinidad and Tobago,Trinidad and Tobago
TUN,Tunisia,Tunisia
TUR,Turkey,Turkey
TUV,Tuvalu,Tuvalu
TWN,"Taiwan, Province of China",Taiwan
TZA,"Tanzania, United Republic of",Tanzania
UGA,Uganda,Uganda
UKR,Ukraine,Ukraine
UMI,United States Minor Outlying Islands,United States Minor Outlying Islands
URY,Uruguay,Uruguay
USA,United States of America,US
UZB,Uzbekistan,Uzbekistan
VAT,Holy See,Holy See
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
VEN,Venezuela (Bolivarian Republic of),Venezuela
VGB,Virgin Islands (British),Virgin Islands (British)
VIR,Virgin Islands (U.S.),Virgin Islands (U.S.)
VNM,Viet Nam,Vietnam
VUT,Vanuatu,Vanuatu
WLF,Wallis and Futuna,Wallis and Futuna
WSM,Samoa,Samoa
YEM,Yemen,Yemen
ZAF,South Africa,South Africa
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
RKS,Kosovo,Kosovo
 ,,
